date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-13 10:16:18,attamilcom,,0,0,0,"https://bit.ly/3hsLv4W இந்திய - சீன எல்லையில் நிலைமை கட்டுப்பாட்டில் உள்ளது: ராணுவ தளபதி #IndiaChinaFaceOff #IndiaChinaStandOff #IndiaChinaBorder #IndiaChinaBorderTension #indiachina #IndiaChinaFaceOffNow",,,#IndiaChinaFaceOff #IndiaChinaStandOff #IndiaChinaBorder #IndiaChinaBorderTension #indiachina #IndiaChinaFaceOffNow,1271748220536926208,https://twitter.com/attamilcom/status/1271748220536926208
2020-06-13 10:13:40,southasiansnews,,0,0,0,"‘Hope all perceived differences between India, China will be set to rest’: Army chief - india news - https://southasiansnews.com/2020/06/13/hope-all-perceived-differences-between-india-china-will-be-set-to-rest-army-chief-india-news/",,,,1271747559422414848,https://twitter.com/southasiansnews/status/1271747559422414848
2020-06-13 10:10:55,ImrRishabh,,0,0,0,"Installed Russian bought S 400 and THAAD anti missile defence system with advance military architecture on LOC,LAC,India-Pak,India-China,India-Nepal border at various strategic points in Jammu Kashmir,ladak and UP to provide a security cover for the whole of india.",,,,1271746868163129344,https://twitter.com/ImrRishabh/status/1271746868163129344
2020-06-13 10:10:00,sanjeevkohli999,,0,0,0,"India-China LAC Tension: रंग बदलता चीन, एक तरफ बातचीत तो दूसरी तरफ बढ़ा रहा सेना http://bz.dhunt.in/9YkmG?s=a&amp;ss=pd Source : ""ABP Hindi"" via Dailyhunt डाउनलोड करें:",,,,1271746636297859073,https://twitter.com/sanjeevkohli999/status/1271746636297859073
2020-06-13 10:08:07,Buzz_In_India,,0,0,0,"‘Hope all perceived differences between India, China will be set to rest’: Army chief ...Read more at https://www.hindustantimes.com/india-news/hope-all-perceived-differences-between-india-china-will-be-set-to-rest-army-chief/story-u1eG4Mfgke0SLrZXzaqtwI.html",,,,1271746161846571008,https://twitter.com/Buzz_In_India/status/1271746161846571008
2020-06-13 10:04:22,Helo1World4Ever,,1,1,1,"8. All Important (Educated + Intellectual + Responssible) Emoloyments/Assignments/Jobs/Responssibilities, in The (Government Sectors + Public Services + Private Sectors), in ""All Departments & Fields, in (UAE+USA+Canada+UK+@EU+India+China+Japan+etc.), For (National+ Foreign Born",,@EU,,1271745219969638402,https://twitter.com/Helo1World4Ever/status/1271745219969638402
2020-06-13 10:03:58,GappistanRadio,rahulroushan,4,7,158,"If this team is as intelligent as Data Intelligence team, they will show US-Canada border while talking about India-China",,,,1271745119297953792,https://twitter.com/GappistanRadio/status/1271745119297953792
2020-06-13 10:03:30,Mahind_rohit,Mahind_rohit,1,0,0,"acquiring other country's land by giving debt. Even India-China 1962 war, it's said tht they fought to distract from the famine they had been suffering from. In China, If any 1 who has joined the army leaves in between, the person doesn't have a right to travel a long distance(2)",,,,1271744998346645504,https://twitter.com/Mahind_rohit/status/1271744998346645504
2020-06-13 10:03:18,ThisBlogs,,0,0,0,"‘Hope all perceived differences between India, China will be set to rest’: Army chief ",,,,1271744951471276034,https://twitter.com/ThisBlogs/status/1271744951471276034
2020-06-13 10:02:23,Mahind_rohit,rajeshsawhney,1,1,0,"Difference between India &amp; China matters. India will never cross the limit. We have never ever invaded on someone's land on our own. China can go to any level. Killing innocents, atrocities on Uighur Muslims, there are Chinese agents selling poor pakistani girls (1)",,,,1271744717307297793,https://twitter.com/Mahind_rohit/status/1271744717307297793
2020-06-13 10:01:06,HindustanTimes,,0,0,0,"‘Hope all perceived differences between India, China will be set to rest’: Army chief http://www.hindustantimes.com/india-news/hope-all-perceived-differences-between-india-china-will-be-set-to-rest-army-chief/story-u1eG4Mfgke0SLrZXzaqtwI.html",,,,1271744396648566791,https://twitter.com/HindustanTimes/status/1271744396648566791
2020-06-13 10:00:30,KashmirLobby,,0,5,12,"There is a Global Dimension to the #India-#China Confrontation in #Ladakh. The government of Prime Minister #Modi has firmly 'internationalized' #Kashmir after half-century of dormancy. https://m.thewire.in/article/diplomacy/global-dimension-india-china-confrontation-in-ladakh via @thewire_in",,@thewire_in,#India #China #Ladakh #Modi #Kashmir,1271744244869468160,https://twitter.com/KashmirLobby/status/1271744244869468160
2020-06-13 09:59:44,htTweets,,2,6,43,"‘Hope all perceived differences between India, China will be set to rest’: Army chief (reports @daskalyan09) https://www.hindustantimes.com/india-news/hope-all-perceived-differences-between-india-china-will-be-set-to-rest-army-chief/story-u1eG4Mfgke0SLrZXzaqtwI.html",,@daskalyan09,,1271744050991783936,https://twitter.com/htTweets/status/1271744050991783936
2020-06-13 09:58:03,jam_benjamin,Jeremy74082793,1,0,0,"Di nga... Hahaha.. Baka yung Amo nyung joma the in fee eh... Yung tatay namin yumuko sina Russia Japan India china at USA kaya patay na naman kayo sa inggit ..",,,,1271743627727826947,https://twitter.com/jam_benjamin/status/1271743627727826947
2020-06-13 09:55:59,shekhar0771,timesofindia,0,0,0,"Yeah very true , everything is hunky dory at India China border , absolutely no worries , just one minor thing is India lost major portion of land to China . Sign .",,,,1271743110159032320,https://twitter.com/shekhar0771/status/1271743110159032320
2020-06-13 09:55:25,NavrajGrewal12,,0,0,0,"India-China border dispute: Is give and take possible after the PLA occupation of the Galwan Valley? ",,,,1271742965380050944,https://twitter.com/NavrajGrewal12/status/1271742965380050944
2020-06-13 09:55:11,infotokno24,,0,0,0,"Info to kno... : News and articles.: Another construction near India China Border ... Click here to know more https://infotokno.blogspot.com/2020/06/border-roads-organisation-completed-its.html?spref=tw",,,,1271742907733749766,https://twitter.com/infotokno24/status/1271742907733749766
